proposicao,proposicao_id,documento_id,documento_ref,tipo_documento,unidade_autora,data,id_arquivo,clausula,endpoint_listagem
PL 2175/2026,156411,326215,,Redação Final,SELEG,2026-03-06,364718,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156411/documento/ativas
PL 2175/2026,156411,326216,,Mensagem,SELEG,2026-03-06,364719,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156411/documento/ativas
PL 2175/2026,156411,326227,,Publicação,SELEG,2026-03-06,364725,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156411/documento/ativas
PL 2175/2026,156411,326231,,Redação Final,SELEG,2026-03-06,364728,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156411/documento/ativas
PL 2175/2026,156411,326254,,Publicação,SELEG,2026-03-06,364743,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156411/documento/ativas
PL 2175/2026,156411,326562,,Publicação,SELEG,2026-03-11,364912,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156411/documento/ativas
PL 2175/2026,156411,326668,,Mensagem - Poder Executivo,SELEG,2026-03-12,364949,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156411/documento/ativas
PL 2322/2026,157767,333340,,Projeto de Lei,SERP-GDF,2026-05-15,368945,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/157767/documento/ativas
PL 2322/2026,157767,333341,,Lei,SERP-GDF,2026-05-15,368946,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/157767/documento/ativas
PL 2363/2026,158171,335252,,Projeto de Lei,SERP-GDF,2026-06-03,369887,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas
PL 2363/2026,158171,335253,,Lei,SERP-GDF,2026-06-03,369888,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas
PL 2363/2026,158171,335254,,Anexo,SERP-GDF,2026-06-03,369889,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas
PL 2363/2026,158171,335771,,Anexo,SELEG,2026-06-09,370216,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas
PL 2363/2026,158171,335779,,Anexo,PLENARIO,2026-06-09,370219,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas
PL 2363/2026,158171,335899,,Parecer,SELEG,2026-06-10,370304,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas
PL 2363/2026,158171,335900,,Folha de Votação,SELEG,2026-06-10,370305,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas
PL 2363/2026,158171,335901,,Parecer,SELEG,2026-06-10,370306,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas
PL 2363/2026,158171,335902,,Folha de Votação,SELEG,2026-06-10,370307,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas
PL 2363/2026,158171,335903,,Parecer,SELEG,2026-06-10,370308,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas
PL 2363/2026,158171,335904,,Folha de Votação,SELEG,2026-06-10,370309,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas
PL 2363/2026,158171,335905,,Notas Taquigráficas,SELEG,2026-06-10,370310,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas
