documento_id,documento_textual_id,proposicao,proposicao_id,tipo_documento,unidade_autora,data_documento,BRB,Master,Vorcaro,ementa_proposicao,autores_proposicao,sha256_corpo,endpoint_fonte,evidencia_local,trecho
324645,352954,REQ 2583/2026,156196,Requerimento,LIDPT,2026-02-06T08:50:16,1,1,0,Requer o encaminhamento de pedido de informações ao Presidente da CAESB.,Deputado Chico Vigilante; Deputado Ricardo Vale; Deputado Gabriel Magno,8d25faabfecbcbac903c437f08c623b5c7096a0795aed0a5519a2edb8de37c7e,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156196/documento/ativas,data/raw/documento-ativas/6df00d0322be34d0.json,"esposta ao item anterior, qual o valor e quanto continua aplicado; III – se houve perda ou se se estima haver perda financeira com eventuais aplicações nas duas instituições acima. JUSTIFICAÇÃO Depois das notícias devastadoras sobre as relações irregulares do BRB com o Banco Master, bem como das notícias de que inúmeras entidades públicas da Administração Indireta de Estados e Municípios tinham aplicação no Banco Master e no Will Bank, faz-se necessário saber se isso também ocorreu com as empresas estatais do Distr"
324647,352955,REQ 2582/2026,156197,Requerimento,LIDPT,2026-02-06T08:56:42,1,1,0,Requer o encaminhamento de pedido de informações Presidente da TERRACAP.,Deputado Chico Vigilante; Deputado Ricardo Vale; Deputado Gabriel Magno,ce6e2da31b72a2a7489cdbd1c6f622ecd3a208b0be10736144826b1828814216,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156197/documento/ativas,data/raw/documento-ativas/c1c0061a509c57d1.json,"esposta ao item anterior, qual o valor e quanto continua aplicado; III – se houve perda ou se se estima haver perda financeira com eventuais aplicações nas duas instituições acima. JUSTIFICAÇÃO Depois das notícias devastadoras sobre as relações irregulares do BRB com o Banco Master, bem como das notícias de que inúmeras entidades públicas da Administração Indireta de Estados e Municípios tinham aplicação no Banco Master e no Will Bank, faz-se necessário saber se isso também ocorreu com as empresas estatais do Distr"
324668,352972,REQ 2581/2026,156198,Requerimento,LIDPT,2026-02-06T09:13:58,1,1,0,Requer o encaminhamento de pedido de informações Presidente da NOVACAP.,Deputado Chico Vigilante; Deputado Ricardo Vale; Deputado Gabriel Magno,789160f9c45cba62f18c55483d9d3f16dac145efc00e65dcc0e2e52a3770cca0,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156198/documento/ativas,data/raw/documento-ativas/fececa1c65589b0c.json,"esposta ao item anterior, qual o valor e quanto continua aplicado; III – se houve perda ou se se estima haver perda financeira com eventuais aplicações nas duas instituições acima. JUSTIFICAÇÃO Depois das notícias devastadoras sobre as relações irregulares do BRB com o Banco Master, bem como das notícias de que inúmeras entidades públicas da Administração Indireta de Estados e Municípios tinham aplicação no Banco Master e no Will Bank, faz-se necessário saber se isso também ocorreu com as empresas estatais do Distr"
324669,352973,REQ 2580/2026,156199,Requerimento,LIDPT,2026-02-06T09:18:54,1,1,0,Requer o encaminhamento de pedido de informações Presidente do METRÔ-DF.,Deputado Chico Vigilante; Deputado Ricardo Vale; Deputado Gabriel Magno,7aa0f49f519fe8321ef59461fb049cb66e58c4d21efe694ab2249bd155a30d10,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156199/documento/ativas,data/raw/documento-ativas/1c30decb6b599b1a.json,"esposta ao item anterior, qual o valor e quanto continua aplicado; III – se houve perda ou se se estima haver perda financeira com eventuais aplicações nas duas instituições acima. JUSTIFICAÇÃO Depois das notícias devastadoras sobre as relações irregulares do BRB com o Banco Master, bem como das notícias de que inúmeras entidades públicas da Administração Indireta de Estados e Municípios tinham aplicação no Banco Master e no Will Bank, faz-se necessário saber se isso também ocorreu com as empresas estatais do Distr"
324670,352975,REQ 2578/2026,156200,Requerimento,LIDPT,2026-02-06T09:24:30,1,1,0,Requer o encaminhamento de pedido de informações Presidente da CEASA.,Deputado Chico Vigilante; Deputado Ricardo Vale; Deputado Gabriel Magno,4e8b5985627735a4906a8dfbae70e6486b2eceb63e616af1ba46fcc22037f529,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156200/documento/ativas,data/raw/documento-ativas/cadf3ed94fc56de6.json,"esposta ao item anterior, qual o valor e quanto continua aplicado; III – se houve perda ou se se estima haver perda financeira com eventuais aplicações nas duas instituições acima. JUSTIFICAÇÃO Depois das notícias devastadoras sobre as relações irregulares do BRB com o Banco Master, bem como das notícias de que inúmeras entidades públicas da Administração Indireta de Estados e Municípios tinham aplicação no Banco Master e no Will Bank, faz-se necessário saber se isso também ocorreu com as empresas estatais do Distr"
324671,352976,REQ 2579/2026,156201,Requerimento,LIDPT,2026-02-06T09:28:02,1,1,0,Requer o encaminhamento de pedido de informações Presidente da CEB.,Deputado Chico Vigilante; Deputado Ricardo Vale; Deputado Gabriel Magno,7ebfa7cfcc18b775de03e71a2d3686104e31f3ed6cd8a8a6506e1507ca18b409,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156201/documento/ativas,data/raw/documento-ativas/3b614cf7d3f2d72b.json,"esposta ao item anterior, qual o valor e quanto continua aplicado; III – se houve perda ou se se estima haver perda financeira com eventuais aplicações nas duas instituições acima. JUSTIFICAÇÃO Depois das notícias devastadoras sobre as relações irregulares do BRB com o Banco Master, bem como das notícias de que inúmeras entidades públicas da Administração Indireta de Estados e Municípios tinham aplicação no Banco Master e no Will Bank, faz-se necessário saber se isso também ocorreu com as empresas estatais do Distr"
324676,352977,REQ 2577/2026,156204,Requerimento,LIDPT,2026-02-06T10:17:59,1,1,0,Requer o encaminhamento de pedido de informações Presidente da CODHAB.,Deputado Chico Vigilante; Deputado Ricardo Vale; Deputado Gabriel Magno,5c9250151dde5eedd3c89d86852efc36c20e83291aeba55f9dcae56b33c7932d,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156204/documento/ativas,data/raw/documento-ativas/78eae95b4da68fb6.json,"esposta ao item anterior, qual o valor e quanto continua aplicado; III – se houve perda ou se se estima haver perda financeira com eventuais aplicações nas duas instituições acima. JUSTIFICAÇÃO Depois das notícias devastadoras sobre as relações irregulares do BRB com o Banco Master, bem como das notícias de que inúmeras entidades públicas da Administração Indireta de Estados e Municípios tinham aplicação no Banco Master e no Will Bank, faz-se necessário saber se isso também ocorreu com as empresas estatais do Distr"
324678,352978,REQ 2576/2026,156205,Requerimento,LIDPT,2026-02-06T10:29:53,1,1,0,Requer o encaminhamento de pedido de informações Presidente da EMATER.,Deputado Chico Vigilante; Deputado Ricardo Vale; Deputado Gabriel Magno,fde9d8776cfe3ceaf61a300129a0ef9f88cd7849766df07cd59882b99fb00448,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156205/documento/ativas,data/raw/documento-ativas/ed8e4c169c621632.json,"esposta ao item anterior, qual o valor e quanto continua aplicado; III – se houve perda ou se se estima haver perda financeira com eventuais aplicações nas duas instituições acima. JUSTIFICAÇÃO Depois das notícias devastadoras sobre as relações irregulares do BRB com o Banco Master, bem como das notícias de que inúmeras entidades públicas da Administração Indireta de Estados e Municípios tinham aplicação no Banco Master e no Will Bank, faz-se necessário saber se isso também ocorreu com as empresas estatais do Distr"
324711,352987,REQ 2575/2026,156218,Requerimento,LIDPT,2026-02-06T13:22:33,1,1,0,Requer seja encaminhado pedido de informações ao Presidente do Banco de Brasília - BRB.,Deputado Chico Vigilante; Deputado Ricardo Vale; Deputado Gabriel Magno,fdf72a1a6f1520aa12daae807fc942621ad18a8225e34bde93e24f9ffd078fc3,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156218/documento/ativas,data/raw/documento-ativas/975b03c9d27243ac.json,"CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Liderança do PT Requerimento Nº, DE 2026 (Autoria: Bancada do Partido dos Trabalhadores) Requer seja encaminhado pedido de informações ao Presidente do Banco de Brasília - BRB. Excelentíssimo Senhor Presidente da Câmara Legislativa do Distrito Federal: Com base no art. 60, XXXIII, da Lei Orgânica do Distrito Federal e nos arts. 16, VIII, a, e 42 do Regimento Interno da Câmara Legislativa, requeremos seja encaminhado ao Presidente d"
325151,354262,REQ 2603/2026,156349,Requerimento,LIDPT,2026-02-19T17:15:49,1,1,0,Requer a convocação do atual Presidente do Banco de Brasília (BRB),Deputado Chico Vigilante; Deputado Ricardo Vale; Deputado Gabriel Magno,b86e29753a6a5addec0b900d346cc487e69482c45443a293b5352da1b1e21e84,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156349/documento/ativas,data/raw/documento-ativas/f6d19feca5f3d544.json,"CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Liderança do PT Requerimento Nº, DE 2026 (Autoria: Bancada do Partido dos Trabalhadores) Requer a convocação do atual Presidente do Banco de Brasília (BRB). Excelentíssimo Senhor Presidente da Câmara Legislativa do Distrito Federal, Com base no art. 60, XIV, da Lei Orgânica do Distrito Federal e no art. 255 do Regimento Interno da Câmara Legislativa, requeremos a convocação do atual Presidente do Banco de Brasí"
325221,354426,REQ 2607/2026,156364,Requerimento,GAB DEP PR DANIEL DE CASTRO,2026-02-21T13:56:03,1,1,0,"Requer o convite do Presidente do Banco de Brasília S.A. – BRB para esclarecer os prejuízos nas operações com o Banco Master, o plano de aporte e os resultados apurados com a auditoria contratada.",Deputado Pastor Daniel de Castro,f8dd8909d039fc5fa6f92e3229991791c526d62e67e9840f2b72985b324046c0,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156364/documento/ativas,data/raw/documento-ativas/f01bcd5b934b51b4.json,"CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Gabinete do Deputado Pastor Daniel de Castro - Gab 07 Requerimento Nº, DE 2026 (Autoria: Deputado Pastor Daniel de Castro) Requer o convite do Presidente do Banco de Brasília S.A. – BRB para esclarecer os prejuízos nas operações com o Banco Master, o plano de aporte e os resultados apurados com a auditoria contratada. Excelentíssimo Senhor Presidente da Câmara Legislativa do Distrito Federal: Nos termos do art. 60, incisos XVI e seguintes da"
325224,354519,REQ 2609/2026,156367,Requerimento,GAB DEP PAULA BELMONTE,2026-02-22T21:30:39,1,1,0,"Requer junto à Companhia Imobiliária de Brasília – TERRACAP informações acerca de imóveis de sua titularidade ou gestão relacionados ao Projeto de Lei nº 2165/2026, destinados a finalidade de reforço patrimonial e suporte econômico-financeiro ao Banco de Brasília S.A. – BRB como forma de recompor o ",Deputada Paula Belmonte,e2e5d39a8eb21d5b4a218720b7463ff68029352d8e781735f361e3c87eda7f2d,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156367/documento/ativas,data/raw/documento-ativas/33090044ad8c5738.json,"o à Companhia Imobiliária de Brasília – TERRACAP informações acerca de imóveis de sua titularidade ou gestão relacionados ao Projeto de Lei nº 2165/2026, destinados a finalidade de reforço patrimonial e suporte econômico-financeiro ao Banco de Brasília S.A. – BRB como forma de recompor o rombo bilionário que a gestão temerária causou o banco no atual governo do Distrito Federal. Excelentíssimo Senhor Presidente da Câmara Legislativa do Distrito Federal: Requeiro, nos termos do art. 42 do Regimento Interno, junto à "
325288,354518,REQ 2610/2026,156380,Requerimento,GAB DEP FÁBIO FÉLIX,2026-02-23T11:53:20,0,1,0,"Requer a convocação da Diretora-Presidente do Instituto de Previdência dos Servidores do Distrito Federal – Iprev-DF, para prestar esclarecimentos acerca dos investimentos realizados no fundo FIP Venture Brasil Central, bem como sobre outras aplicações vinculadas ao Banco Master.",Deputado Fábio Felix,72eecc35448c438d5d42ccc7321c84bda41ca58a56f2d370b926d0dcb00875de,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156380/documento/ativas,data/raw/documento-ativas/3f07b2e359597be3.json,"ocação da Diretora-Presidente do Instituto de Previdência dos Servidores do Distrito Federal – Iprev-DF, para prestar esclarecimentos acerca dos investimentos realizados no fundo FIP Venture Brasil Central, bem como sobre outras aplicações vinculadas ao Banco Master. Excelentíssimo Senhor Presidente da Câmara Legislativa do Distrito Federal, Nos termos do art. 142, II, do Regimento Interno da Câmara Legislativa do Distrito Federal, requeiro a convocação da Diretora-Presidente do Instituto de Previdência dos Servido"
325345,354862,REQ 2613/2026,156388,Requerimento,GAB DEP THIAGO MANZONI,2026-02-23T16:47:39,1,1,0,Requer a convocação do Sr. Secretário de Estado de Economia do Distrito Federal e do Sr. Presidente do Banco de Brasília - BRB para que prestem esclarecimentos sobre a situação financeira do Banco de Brasília e sobre as medidas de socorro necessárias. ,Deputado Thiago Manzoni,47336187c40e52699071a9677ae38fb2eb9d3521dbfd854fdedb672cb5833186,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156388/documento/ativas,data/raw/documento-ativas/64446fba4f0af7b9.json,"LEGISLATIVA DO DISTRITO FEDERAL Gabinete do Deputado Thiago Manzoni - Gab 08 Requerimento Nº, DE 2026 (Autoria: Deputado Thiago Manzoni) Requer a convocação do Sr. Secretário de Estado de Economia do Distrito Federal e do Sr. Presidente do Banco de Brasília - BRB para que prestem esclarecimentos sobre a situação financeira do Banco de Brasília e sobre as medidas de socorro necessárias. Excelentíssimo Senhor Presidente da Câmara Legislativa do Distrito Federal: Requeiro, nos termos do art. 60, XIV, da Lei Orgânica d"
325527,354919,REQ 2614/2026,156414,Requerimento,GAB DEP THIAGO MANZONI,2026-02-24T15:57:25,1,1,0,"Requer o encaminhamento, por intermédio da Mesa Diretora, de Requerimento ao Sr. Secretário de Estado de Economia do Distrito Federal e ao Sr. Presidente do Banco de Brasília para que prestem informações relacionadas ao Projeto de Lei n.º 2.175/2026.",Deputado Thiago Manzoni,5712679d5709b84f00fe3e6d941f3ac030aae59c96dfaa6fbe3d26427da92cd8,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156414/documento/ativas,data/raw/documento-ativas/9c5b0db2544533e5.json,"6, inciso VIII, “a”, e 42 do Regimento Interno da CLDF, o encaminhamento, por intermédio da Mesa Diretora, de requerimento ao Senhor Secretário de Estado de Economia do Distrito Federal, Daniel Izaias de Carvalho, e ao Senhor Presidente do Banco de Brasília - BRB, Nelson Antônio de Souza, para que prestem as seguintes informações relacionadas ao Projeto de Lei nº 2.175/2026: I – Sobre a situação econômico-financeira do BRB no momento atual: a) Qual é o índice de Basileia atualizado da instituição? b) Qual é o monta"
325568,355015,PL 2175/2026,156411,Emenda,GAB DEP EDUARDO PEDROSA,2026-02-25T09:26:52,1,0,0,"Dispõe sobre as medidas a serem adotadas pelo Distrito Federal, na condição de acionista controlador, para o restabelecimento e fortalecimento das condições econômico-financeiras do Banco de Brasília S.A. – BRB, e dá outras providências.",Poder Executivo,eee21456e4f42fa5ac3215daaaae2c23b61ac002384770c0b7e502794480aaff,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156411/documento/ativas,data/raw/documento-ativas/28308ee15c2f8091.json,"Eduardo Pedrosa) Ao Projeto de Lei Nº 2175/2026, que Dispõe sobre as medidas a serem adotadas pelo Distrito Federal, na condição de acionista controlador, para o restabelecimento e fortalecimento das condições econômico-financeiras do Banco de Brasília S.A. – BRB, e dá outras providências. Adite-se, onde couber, o seguinte artigo: ""Art. ___ O Banco de Brasília S.A. – BRB deverá publicar, trimestralmente, no Diário Oficial do Distrito Federal e em seu sítio eletrônico, relatório detalhado contendo: I – a relação dos"
325569,355017,PL 2175/2026,156411,Emenda,GAB DEP EDUARDO PEDROSA,2026-02-25T09:30:29,1,1,0,"Dispõe sobre as medidas a serem adotadas pelo Distrito Federal, na condição de acionista controlador, para o restabelecimento e fortalecimento das condições econômico-financeiras do Banco de Brasília S.A. – BRB, e dá outras providências.",Poder Executivo,fdee1ff10449c440fb8c12cedd717d70a77401822030b7028c38e3eb40835b2a,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156411/documento/ativas,data/raw/documento-ativas/28308ee15c2f8091.json,"Eduardo Pedrosa) Ao Projeto de Lei Nº 2175/2026, que Dispõe sobre as medidas a serem adotadas pelo Distrito Federal, na condição de acionista controlador, para o restabelecimento e fortalecimento das condições econômico-financeiras do Banco de Brasília S.A. – BRB, e dá outras providências. Adite-se ao Art. 4º do projeto de lei o seguinte parágrafo: ""Art. 4º (...) §2º. Caso a reavaliação anual dos ativos ou a recuperação das operações financeiras que deram causa ao aporte demonstrem que o valor dos bens transferidos"
325641,355230,PL 2175/2026,156411,Emenda,GAB DEP PEPA,2026-02-25T13:48:49,1,0,0,"Dispõe sobre as medidas a serem adotadas pelo Distrito Federal, na condição de acionista controlador, para o restabelecimento e fortalecimento das condições econômico-financeiras do Banco de Brasília S.A. – BRB, e dá outras providências.",Poder Executivo,d762080b2b353ee654202de5d5744828598da7d4322a882de345d2c9b9f0def5,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156411/documento/ativas,data/raw/documento-ativas/28308ee15c2f8091.json,"Wellington Luiz) Ao Projeto de Lei Nº 2175/2026, que Dispõe sobre as medidas a serem adotadas pelo Distrito Federal, na condição de acionista controlador, para o restabelecimento e fortalecimento das condições econômico-financeiras do Banco de Brasília S.A. – BRB, e dá outras providências. Adite-se, onde couber, o seguinte artigo, renumerando-se os demais: Art. 1º O Projeto de Lei nº 2165, de 2026, passa a vigorar acrescido do seguinte artigo: Art. __. Toda medida de recomposição, reforço ou ampliação do patrimônio"
