data,tipo_documento,proposicao,proposicao_id,documento_id,documento_textual_id,unidade,sessoes_registradas_na_data,palavras_no_texto,sha256_corpo,endpoint_fonte,evidencia_local,inicio_do_texto
2026-06-10,Folha de Votação,PL 2363/2026,158171,335902,,SELEG,ORDINARIA nº 51,,39d5da7c1b249e8c6b3dc7b6133c771c454f54b47f39a93a891103e4287bb742,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas,data/raw/documento-ativas/be992403f31856a5.json,
2026-06-10,Folha de Votação,PL 2363/2026,158171,335904,,SELEG,ORDINARIA nº 51,,8c42f195e5aede18075a0dd56aa0cfbc62b2170a0c6b514722a224ac262d0174,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas,data/raw/documento-ativas/be992403f31856a5.json,
2026-06-10,Folha de Votação,PL 2363/2026,158171,335911,,SELEG,ORDINARIA nº 51,,f2dffea8179c41cea073d8ec79adb18f64aa2aa2574618b585a7f96f304e29c0,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas,data/raw/documento-ativas/be992403f31856a5.json,
2026-06-10,Folha de Votação,PL 2363/2026,158171,335913,,SELEG,ORDINARIA nº 51,,a25f87aca160a0b62da5cf1475d4314d7541df8d0adf5291261a32a7f8c50aa7,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas,data/raw/documento-ativas/be992403f31856a5.json,
2026-06-10,Folha de Votação,PL 2363/2026,158171,335914,,SELEG,ORDINARIA nº 51,,d399f6086ecd4ff034027957054c3a3a92edd1b79ce150d9e9fe8c9b8bb7eefa,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas,data/raw/documento-ativas/be992403f31856a5.json,
2026-06-10,Folha de Votação - Destaque,PL 2363/2026,158171,335906,,SELEG,ORDINARIA nº 51,,955413aae149190fa654e8c7102000152936f96d3f5f89401c9964b8802f3776,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas,data/raw/documento-ativas/be992403f31856a5.json,
2026-06-10,Folha de Votação - Destaque,PL 2363/2026,158171,335908,,SELEG,ORDINARIA nº 51,,b5a5e97474c6efe0ca5637a2f2bd6fa8373672f0599979c738b3db29a68661dc,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas,data/raw/documento-ativas/be992403f31856a5.json,
2026-06-10,Folha de Votação - Destaque,PL 2363/2026,158171,335910,,SELEG,ORDINARIA nº 51,,11efb3e74e1e439cf44c6926b35f5e4350b3b6a1b83264934aa8a18f5cbac890,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas,data/raw/documento-ativas/be992403f31856a5.json,
2026-06-10,Notas Taquigráficas,PL 2363/2026,158171,335905,,SELEG,ORDINARIA nº 51,,7884b3f631be69bbcfd3fe20a353ff2dd4ad8af2b065d4152936c4d4304bde2c,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas,data/raw/documento-ativas/be992403f31856a5.json,
2026-06-10,Notas Taquigráficas,PL 2363/2026,158171,335907,,SELEG,ORDINARIA nº 51,,36c0609993d3940c438c321fd578aceb2b008af2b9aadbcd12b7130616d6be06,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas,data/raw/documento-ativas/be992403f31856a5.json,
