proposicao,autoria,ementa,data_leitura,dias_ate_22_09_2026,documentos_no_processo,documentos_de_resposta,respostas_legiveis,remetido_ao_sei,encerrado,etapa,id_proposicao
REQ 2413/2025,Deputado Fábio Felix,"
Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado.
",2025-11-10,316,3,0,0,nao,sim,Apresentação,155186
REQ 2414/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,nao,sim,Apresentação,155187
REQ 2415/2025,Deputado Fábio Felix,"Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado.
",2025-11-10,316,3,0,0,nao,sim,Apresentação,155188
REQ 2416/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,nao,sim,Apresentação,155189
REQ 2417/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado.,2025-11-10,316,3,0,0,nao,sim,Apresentação,155190
REQ 2418/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado.,2025-11-10,316,3,0,0,nao,sim,Apresentação,155191
REQ 2419/2025,Deputado Fábio Felix,"
Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado.
",2025-11-10,316,3,0,0,nao,sim,Apresentação,155193
REQ 2420/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,nao,sim,Apresentação,155194
REQ 2421/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado.,2025-11-10,316,3,0,0,nao,sim,Apresentação,155195
REQ 2422/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,nao,sim,Apresentação,155196
REQ 2423/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado.,2025-11-10,316,3,0,0,nao,sim,Apresentação,155197
REQ 2424/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado.,2025-11-10,316,3,0,0,nao,sim,Apresentação,155198
REQ 2425/2025,Deputado Fábio Felix,"Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado.
",2025-11-10,316,3,0,0,nao,sim,Apresentação,155199
REQ 2426/2025,Deputado Fábio Felix,"Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado.
",2025-11-10,316,3,0,0,nao,sim,Apresentação,155201
REQ 2427/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,nao,sim,Apresentação,155202
REQ 2428/2025,Deputado Fábio Felix,"Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado.
",2025-11-10,316,3,0,0,nao,sim,Apresentação,155203
REQ 2429/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,nao,sim,Apresentação,155204
REQ 2430/2025,Deputado Fábio Felix,"Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado
 
",2025-11-10,316,3,0,0,nao,sim,Apresentação,155205
REQ 2431/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,nao,sim,Apresentação,155206
REQ 2432/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,nao,sim,Apresentação,155208
REQ 2433/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,1,0,0,nao,sim,Apresentação,155207
REQ 2434/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,nao,sim,Apresentação,155210
REQ 2435/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,nao,sim,Apresentação,155211
REQ 2436/2025,Deputado Fábio Felix,"Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado
 
",2025-11-10,316,3,0,0,nao,sim,Apresentação,155212
REQ 2437/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,nao,sim,Apresentação,155213
REQ 2438/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,nao,sim,Apresentação,155214
REQ 2439/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,nao,sim,Apresentação,155215
REQ 2440/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado.,2025-11-10,316,3,0,0,nao,sim,Apresentação,155091
REQ 2441/2025,Deputado Fábio Felix,"Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado
 
",2025-11-10,316,3,0,0,nao,sim,Apresentação,155093
REQ 2442/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,nao,sim,Apresentação,155094
REQ 2443/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado.,2025-11-10,316,3,0,0,nao,sim,Apresentação,155095
REQ 2444/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,nao,sim,Apresentação,155096
REQ 2445/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,nao,sim,Apresentação,155097
